hjd,camera,mag,mag_err,flux,flux_err
2457356.78274,bb,15.803,0.07146,1.832,0.12
2456510.96316,bb,15.907,0.07702,1.663,0.118
2456448.09627,bb,15.74,0.06827,1.941,0.122
2458338.95678,bb,15.982,0.08125,1.553,0.116
2457318.89584,bb,15.679,0.0653,2.054,0.123
2457561.06113,bb,16.308,0.10153,1.15,0.107
2456924.93234,bb,16.261,0.09843,1.201,0.109
2457298.00193,bb,15.132,0.04407,3.399,0.138
2458070.78885,bb,16.384,0.10662,1.072,0.105
2456983.81745,bb,16.314,0.10192,1.144,0.107
2457218.96225,bb,16.285,0.10001,1.174,0.108
2457398.71584,bb,15.086,0.04269,3.545,0.139
2457905.1036,bb,15.646,0.06375,2.116,0.124
2456906.85357,bb,15.8,0.07131,1.836,0.12
2457353.77451,bb,16.211,0.0952,1.258,0.11
2457212.10856,bb,15.207,0.04644,3.171,0.135
2456514.12034,bb,15.535,0.05879,2.344,0.127
2457992.94145,bb,15.903,0.0768,1.671,0.118
2456986.80443,bb,15.953,0.07959,1.594,0.117
2457170.10786,bb,15.453,0.05539,2.529,0.129
2456917.0795,bb,16.129,0.09003,1.356,0.112
2456907.93761,bb,16.334,0.10326,1.123,0.107
2457311.88399,bb,15.196,0.04608,3.203,0.136
2456932.89798,bb,16.237,0.09687,1.227,0.109
2457589.9611,bb,15.108,0.04334,3.472,0.138
2456461.04332,bb,15.827,0.07271,1.791,0.12
2456967.91067,bb,15.726,0.06758,1.966,0.122
2458061.73709,bb,15.791,0.07085,1.851,0.121
2458412.81276,bb,15.844,0.07361,1.763,0.119
2456820.07821,bb,16.169,0.09253,1.307,0.111
2457600.06744,bb,16.302,0.10113,1.156,0.108
2457390.75869,bb,16.249,0.09765,1.214,0.109
2456909.94571,bb,15.447,0.05515,2.542,0.129
2457927.10073,bb,16.203,0.09469,1.266,0.11
2457914.06938,bb,16.49,0.11389,0.973,0.102
2457369.78098,bb,16.088,0.08752,1.409,0.113
2457381.79233,bb,16.102,0.08837,1.39,0.113
2458431.83285,bb,16.068,0.08631,1.435,0.114
2457696.85221,bb,16.125,0.08978,1.362,0.112
2457694.92937,bb,15.774,0.06998,1.881,0.121
2456894.97314,bb,16.307,0.10146,1.151,0.107
2456507.00868,bb,16.207,0.09494,1.262,0.11
2457178.10136,bb,15.885,0.07582,1.698,0.118
2457384.77602,bb,16.294,0.1006,1.165,0.108
2457941.01377,bb,16.23,0.09642,1.236,0.11
2457757.7368,bb,15.652,0.06403,2.105,0.124
2456882.99458,bb,16.164,0.09222,1.314,0.111
2457271.07579,bb,16.147,0.09115,1.334,0.112
2457581.03295,bb,16.178,0.0931,1.297,0.111
2456835.0528,bb,16.454,0.1114,1.005,0.103
2456904.88961,bb,15.192,0.04595,3.213,0.136
2456506.0135,bb,16.208,0.09501,1.261,0.11
2457737.76966,bb,15.28,0.0489,2.964,0.133
2456233.78984,bb,15.975,0.08085,1.563,0.116
2458071.78095,bb,15.125,0.04385,3.418,0.138
2457165.11345,bb,15.794,0.071,1.847,0.121
2457223.04965,bb,16.243,0.09726,1.221,0.109
