hjd,camera,mag,mag_err,flux,flux_err
2456317.72257,bb,15.124,0.04382,3.423,0.138
2456967.91067,bb,15.729,0.06773,1.96,0.122
2456458.06079,bb,16.195,0.09418,1.276,0.111
2457323.88971,bb,15.183,0.04566,3.24,0.136
2457979.06608,bb,15.834,0.07308,1.779,0.12
2456913.95053,bb,16.358,0.10487,1.098,0.106
2457905.1036,bb,15.645,0.0637,2.119,0.124
2457377.77819,bb,16.168,0.09247,1.309,0.111
2457324.73169,bb,16.359,0.10493,1.098,0.106
2458004.9799,bb,15.996,0.08206,1.532,0.116
2457302.95357,bb,16.182,0.09335,1.291,0.111
2456920.04992,bb,16.362,0.10514,1.094,0.106
2457935.02491,bb,15.473,0.0562,2.481,0.128
2457228.03326,bb,16.304,0.10126,1.154,0.108
2456882.99458,bb,16.166,0.09234,1.311,0.111
2457980.98163,bb,16.142,0.09084,1.34,0.112
2456575.88095,bb,16.202,0.09462,1.268,0.11
2457696.85221,bb,16.123,0.08966,1.364,0.113
2457707.85719,bb,15.793,0.07095,1.849,0.121
2457973.93549,bb,15.541,0.05905,2.33,0.127
2457600.06744,bb,16.303,0.10119,1.155,0.108
2457299.02407,bb,15.75,0.06877,1.923,0.122
2457637.93886,bb,16.37,0.10568,1.086,0.106
2456906.85357,bb,15.802,0.07141,1.833,0.12
2456514.12034,bb,15.534,0.05875,2.345,0.127
2458036.98193,bb,16.26,0.09837,1.202,0.109
2458371.96593,bb,16.217,0.09558,1.251,0.11
2457559.04183,bb,15.229,0.04717,3.105,0.135
2457356.78274,bb,15.801,0.07136,1.834,0.12
2457398.71584,bb,15.085,0.04266,3.548,0.139
2456485.94661,bb,15.582,0.06084,2.244,0.126
2457701.76633,bb,15.1,0.0431,3.498,0.139
2456986.80443,bb,15.955,0.07971,1.591,0.117
2456924.93234,bb,16.259,0.0983,1.203,0.109
2457369.78098,bb,16.086,0.0874,1.41,0.113
2457746.76466,bb,16.166,0.09234,1.311,0.111
2457307.87883,bb,16.09,0.08764,1.406,0.113
2457755.75751,bb,16.272,0.09915,1.189,0.108
2457656.96824,bb,15.245,0.0477,3.062,0.134
2456491.95578,bb,15.595,0.06142,2.218,0.125
2457931.03968,bb,15.917,0.07758,1.648,0.118
2457561.06113,bb,16.311,0.10172,1.147,0.107
2457353.77451,bb,16.21,0.09513,1.259,0.11
2457304.83428,bb,16.243,0.09726,1.221,0.109
2457939.01748,bb,16.281,0.09974,1.179,0.108
2456474.03072,bb,15.945,0.07914,1.606,0.117
2457036.72364,bb,16.023,0.08363,1.495,0.115
2456539.09198,bb,15.754,0.06897,1.916,0.122
2457672.76385,bb,15.898,0.07653,1.678,0.118
2456527.96221,bb,15.452,0.05535,2.529,0.129
2456871.0214,bb,16.247,0.09752,1.217,0.109
2458060.74527,bb,15.317,0.05021,2.865,0.132
2458299.02396,bb,16.293,0.10053,1.166,0.108
2457569.0299,bb,16.14,0.09071,1.343,0.112
